name,address,city,state,postal_code,latitude,longitude,stars,review_count,weekday_hours,weekend_hours,RestaurantsDelivery,OutdoorSeating,BusinessAcceptsCreditCards,BikeParking,RestaurantsPriceRange2,RestaurantsTakeOut,Caters,RestaurantsReservations,GoodForKids,RestaurantsGoodForGroups,HasTV,WiFi_'no',WiFi_'paid',WiFi_None,WiFi_u'free',WiFi_u'no',WiFi_u'paid',Alcohol_'full_bar',Alcohol_'none',Alcohol_None,Alcohol_u'beer_and_wine',Alcohol_u'full_bar',Alcohol_u'none',RestaurantsAttire_'dressy',RestaurantsAttire_'formal',RestaurantsAttire_None,RestaurantsAttire_u'casual',RestaurantsAttire_u'dressy',RestaurantsAttire_u'formal',NoiseLevel_'loud',NoiseLevel_'quiet',NoiseLevel_'very_loud',NoiseLevel_None,NoiseLevel_u'average',NoiseLevel_u'loud',NoiseLevel_u'quiet',NoiseLevel_u'very_loud',categories_list
Bar One,767 S 9th St,Philadelphia,PA,19147,39.9398245705,-75.1574465632,4.0,65,40.0,16.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Cocktail Bars', 'Bars', 'Italian', 'Nightlife']"
Domino's Pizza,3001 Highway 31 W,White House,TN,37188,36.4647467622,-86.6591868908,3.5,8,40.0,16.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Pizza', 'Chicken Wings', 'Sandwiches']"
DeSandro on Main,4105 Main St,Philadelphia,PA,19127,40.0224662,-75.218314,3.0,41,37.0,19.0,1,1,1,1,1.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['Pizza', 'Salad', 'Soup']"
Ardmore Pizza,10 Rittenhouse Pl,Ardmore,PA,19003,40.0067071,-75.289671,3.5,109,40.0,16.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['Pizza']
Craft Hall,901 N Delaware Ave,Philadelphia,PA,19123,39.9625821,-75.1356571,3.5,65,34.0,18.0,1,1,1,0,2.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Eatertainment', 'Arts & Entertainment', 'Brewpubs', 'American (Traditional)', 'Bakeries', 'Breweries']"
Cheeseburger In Paradise,116 N Pottstown Pike,Exton,PA,19341,40.029962,-75.630607,2.5,20,43.0,18.0,1,1,1,0,2.0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['Burgers']
Tony's Restaurant & 3rd Street Cafe,312 Piasa St,Alton,IL,62002,38.896563,-90.1862032987,3.0,94,46.0,19.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Specialty Food', 'Steakhouses', 'Italian', 'Pizza', 'Pasta Shops']"
China Dragon Restaurant,"1625 W Valencia Rd, Ste 101-103",Tucson,AZ,85746,32.1323047,-110.9999851,3.0,23,45.0,18.0,1,1,1,0,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,['Chinese']
Caviar & Bananas,2031 Broadway,Nashville,TN,37203,36.1483712,-86.7988947,3.5,159,40.0,16.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Coffee & Tea', 'Wine Bars', 'Bars', 'Nightlife', 'American (Traditional)', 'Breakfast & Brunch', 'Cafes', 'Diners']"
Core de Roma,201 Jefferson St,Bala Cynwyd,PA,19004,40.0283575,-75.2380841,5.0,12,40.0,20.0,1,0,0,0,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['Italian']
Paws The Cat Cafe,10588 109 Street,Edmonton,AB,T5H 3B2,53.549633299999996,-113.5087799,5.0,20,43.0,18.0,1,1,0,1,1.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Coffee & Tea', 'Cafes', 'Pets', 'Pet Adoption']"
Roman Forum,10440 N Dale Mabry Hwy,Tampa,FL,33618,28.0462028173,-82.5050526736,4.0,23,50.0,8.0,1,1,1,1,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['American (New)', 'Italian']"
Joe's Pizza,2038 N Dale Mabry Hwy,Tampa,FL,33607,27.9605142,-82.506127,4.0,35,44.0,8.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['Pizza']
Lafitte's Landing Seafood House,1700 Lapalco Blvd,Harvey,LA,70058,29.8754822266,-90.04938,2.5,38,45.0,18.0,1,1,1,1,2.0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Soup', 'Seafood', 'Burgers']"
Twin Peaks,6880 E 82nd St,Indianapolis,IN,46250,39.9062952,-86.0474634,3.5,257,41.0,16.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Sports Bars', 'American (New)', 'American (Traditional)', 'Nightlife', 'Bars']"
Village Tap Room,838 Broad Ripple Ave,Indianapolis,IN,46220,39.8699114,-86.1435773,2.5,23,43.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Gastropubs', 'Cocktail Bars', 'Beer Bar', 'Bars', 'Nightlife']"
Doc Magrogan's Oyster House - West Chester,117 E Gay St,West Chester,PA,19380,39.9615417,-75.6036042,3.0,114,43.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Seafood', 'Bars', 'Nightlife', 'Cocktail Bars', 'American (New)', 'Pubs']"
Sharky's Sports Bar & Grill,820 N Black Horse Pike,Williamstown,NJ,08094,39.6968014,-74.9998214,2.5,29,43.0,18.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['American (Traditional)', 'Bars', 'Nightlife', 'Sports Bars']"
39 North Taproom & Grill,110 S MacDade Blvd,Glenolden,PA,19036,39.9036968861,-75.2949812448,4.5,25,39.0,17.0,1,1,1,1,2.0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['American (Traditional)', 'Sports Bars', 'Bars', 'Nightlife', 'Steakhouses', 'Salad', 'Beer Bar']"
Gavi Italian Restaurant,"7401 N La Cholla Blvd, Ste 146",Tucson,AZ,85707,32.221667,-110.925833,3.5,9,43.0,18.0,1,1,1,0,2.0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['Italian']
Top Shelf Sports Lounge,3173 Cypress Ridge Blvd,Wesley Chapel,FL,33544,28.1962523878,-82.3806153496,4.5,95,54.0,19.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Burgers', 'Sports Bars', 'Bars', 'Lounges', 'Salad', 'Wraps', 'Nightlife', 'American (New)']"
Wawa,3604 Chestnut St,Philadelphia,PA,19104,39.954573,-75.1948936,3.0,56,35.0,14.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Automotive', 'Delis', 'Gas Stations', 'Coffee & Tea', 'Sandwiches', 'Convenience Stores']"
Super Sushi Kyo Hin,2501 Mt Holly Rd 245,Burlington,NJ,08016,40.0416285,-74.8258209,3.5,6,43.0,18.0,1,1,1,0,2.0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['Japanese', 'Sushi Bars', 'Asian Fusion']"
Helena Avenue Bakery,"131 Anacapa St, Ste C",Santa Barbara,CA,93101,34.4144445,-119.6906718,4.0,389,39.0,16.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Salad', 'Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches', 'Bakeries']"
Copper Vine,1001 Poydras St,New Orleans,LA,70112,29.9506467229,-90.0744274301,4.5,350,43.0,20.0,1,1,1,0,2.0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Nightlife', 'Pubs', 'Wine Bars', 'Bars', 'Gastropubs', 'Venues & Event Spaces']"
Fresh Fruits & Salads,114 N 3rd St,Camden,NJ,08102,39.9466899,-75.123327,4.5,6,40.0,8.0,0,0,0,0,2.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Juice Bars & Smoothies', 'Fruits & Veggies', 'Salad', 'Specialty Food']"
Mike's Ice Cream,129 2nd Ave N,Nashville,TN,37201,36.1626492,-86.7759733,4.5,593,39.0,16.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Ice Cream & Frozen Yogurt', 'Coffee & Tea', 'Sandwiches']"
Impasto,,Tampa,FL,33611,27.890814,-82.5023464,5.0,5,35.0,14.0,1,0,1,0,2.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Italian', 'Food Trucks']"
Silver and Blue Outfitters,5191 Meadowood Mall Cir,Reno,NV,89502,39.476518,-119.7840369,4.5,5,43.0,18.0,0,0,1,1,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Sporting Goods', 'Sports Wear', 'Fashion', 'Fast Food', 'Sandwiches', 'Shopping']"
Ricardo's Italian Cafe,1931 Park Ave,Saint Louis,MO,63104,38.6172724,-90.2127841,3.5,80,45.0,10.0,1,1,1,1,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['American (New)', 'Cafes', 'Italian', 'American (Traditional)']"
Crafty Crab,51 Ludwig Dr,Fairview Heights,IL,62208,38.6012982,-89.9896835,2.5,14,45.0,18.0,1,0,0,0,2.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['Seafood']
Mahony's Po-Boys & Seafood,901 Iberville St,New Orleans,LA,70112,29.9554151,-90.0700619,4.0,382,25.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Seafood', 'Cajun/Creole']"
Taqueria Los Primos,3322 Old Capitol Trl,Wilmington,DE,19808,39.7320886,-75.6256733,4.0,23,43.0,18.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,['Mexican']
The Pearl,163 107th Ave,Treasure Island,FL,33706,27.7694046,-82.767317,4.0,129,36.0,9.0,1,1,1,1,3.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['French', 'Moroccan', 'Seafood', 'Mediterranean']"
Sunset 44 Bistro,118 W Adams Ave,Saint Louis,MO,63122,38.5832229,-90.4071872,4.0,73,45.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['Bars', 'Lounges', 'American (New)', 'Nightlife', 'Wine Bars']"
Subway,"330 Franklin Rd, Ste 900-d",Brentwood,TN,37027,36.0263631408,-86.7894728157,2.5,14,40.0,17.0,1,1,1,0,1.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Sandwiches', 'Fast Food']"
Papa Murphy's,"7250 North La Cholla, Suite 186",Tucson,AZ,85741,32.3385723,-111.0107602,4.0,22,43.0,18.0,1,1,1,1,1.0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,['Pizza']
Nipper's Pub,1205 Delsea Dr,Woodbury,NJ,08096,39.8444681,-75.1248703,3.5,29,43.0,18.0,1,1,1,1,1.0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Nightlife', 'Chicken Wings', 'Pubs', 'Bars', 'American (Traditional)']"
Golden Chopstick Chinese Restaurant,1800 Spring Garden St,Philadelphia,PA,19130,39.963077709,-75.1680274529,3.0,137,47.0,20.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['Chinese']
Altamura,2127 Prytania St,New Orleans,LA,70115,29.9333877563,-90.079498291,3.5,27,36.0,18.0,1,1,1,1,3.0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"['Cocktail Bars', 'Italian', 'Nightlife', 'Seafood', 'Bars']"
Home Plate Sports Pub,4880 E 22nd St,Tucson,AZ,85711,32.206315,-110.887843,3.5,56,40.0,16.0,1,1,1,1,1.0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Bars', 'Sports Bars', 'Nightlife']"
Santa Barbara Shellfish Company,230 Stearns Wharf,Santa Barbara,CA,93101,34.4087147,-119.6850187,4.0,2404,43.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Live/Raw Food', 'Seafood', 'Beer Bar', 'Beer', 'Wine & Spirits', 'Bars', 'Nightlife']"
ALM Kainan,"390 N McCarran Blvd, Ste B",Sparks,NV,89434,39.5371788,-119.7355322,4.0,13,45.0,8.0,1,1,1,0,1.0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,['Filipino']
J Sushi,243 S 10th St,Philadelphia,PA,19107,39.9470334,-75.1574339,4.5,72,37.0,19.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Seafood', 'Sushi Bars', 'Japanese']"
Chipotle Mexican Grill,10160 Ulmerton Rd,Largo,FL,33771,27.894167,-82.779866,3.0,19,47.0,20.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Mexican', 'Fast Food']"
Cerveza Jack's,135 2nd Ave N,Nashville,TN,37201,36.162799,-86.776016,4.0,182,33.0,17.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['Nightlife', 'Bars', 'Mexican']"
Wendy's,741 Thompson Ln,Nashville,TN,37204,36.112075744,-86.7674462724,1.5,37,40.0,16.0,1,1,1,1,1.0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Burgers', 'Fast Food']"
Bar-B-Cutie,1787 Gallatin Pike N,Madison,TN,37115,36.296536,-86.700179,3.5,40,50.0,19.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Barbeque']
Sal DeForte's Ristorante,1400 Parkway Ave,Ewing,NJ,08628,40.2668877,-74.8056572,4.0,52,47.0,20.0,1,1,1,1,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['Italian']
Gaylord Opryland Resort & Convention Center,2800 Opryland Dr,Nashville,TN,37214,36.2115923083,-86.6943191727,3.0,1639,35.0,14.0,1,1,1,0,3.0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['Venues & Event Spaces', 'Performing Arts', 'Arts & Entertainment', 'Hotels & Travel', 'Convenience Stores', 'American (New)', 'Beauty & Spas', 'Museums', 'Hotels', 'Cinema', 'Resorts', 'Day Spas']"
Trust Me BBQ,8624 US Hwy 301 S,Riverview,FL,33569,27.8652573,-82.3260903,4.0,29,43.0,18.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,['Barbeque']
Kinjo's Japanese Restaurant,2875 Tyrone Blvd N,Saint Petersburg,FL,33710,27.7972626,-82.7339127,3.5,17,44.0,17.0,1,1,1,0,2.0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['Japanese', 'Sushi Bars']"
PDQ Temple Terrace,5112 E Fowler Ave,Tampa,FL,33617,28.0548882706,-82.3995484,3.0,5,45.0,18.0,1,0,1,0,2.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Fast Food', 'Sandwiches', 'Chicken Shop']"
Domino's Pizza,"1525 Lapalco Blvd, # A",Harvey,LA,70058,29.8753202,-90.045817,1.5,14,40.0,16.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Sandwiches', 'Pizza', 'Chicken Wings']"
Roma Pizza & Italian Eatery,1103 Main St,Warrington,PA,18976,40.2295269733,-75.1310898382,2.5,25,45.0,18.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['Pizza']
McDonald's,1919 S Jefferson,St. Louis,MO,63104,38.6124951839,-90.2219420671,1.5,100,35.0,14.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Fast Food', 'Burgers', 'Coffee & Tea']"
Aussie Grill,25340 Sierra Center Blvd,Lutz,FL,33559,28.192191035,-82.396367,4.0,75,43.0,18.0,1,1,1,0,2.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['American (New)', 'Burgers', 'Fast Food', 'Steakhouses']"
Wendy's,700 E. Hunting Park,Philadelphia,PA,19124,40.012141,-75.1150148,1.5,15,40.0,16.0,1,1,1,0,1.0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Burgers', 'Fast Food']"
China Pearl,2E Summit Sq Shopping Ctr,Langhorne,PA,19047,40.2177843,-74.9265858,1.5,27,45.0,9.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Japanese', 'Chinese', 'Thai']"
Bagelicious - King Of Prussia,216 W Beidler Rd,King of Prussia,PA,19406,40.1124813,-75.3799748,3.5,60,32.0,16.0,1,0,1,1,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Bakeries', 'Bagels']"
Bub's Cafe,220 2nd St SW,Carmel,IN,46032,39.976614,-86.130124,4.0,175,40.0,16.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['Breakfast & Brunch']
The Mad Griddle ,2127 E 10th St,Indianapolis,IN,46201,39.781126,-86.1241235,5.0,7,45.0,18.0,1,1,1,0,2.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Arts & Entertainment', 'Nightlife', 'Jazz & Blues', 'Pizza', 'Southern']"
530 Pub & Grill,530 Cleveland St,Clearwater,FL,33755,27.9657471097,-82.7989008,4.5,6,36.0,9.0,1,0,0,0,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['American (Traditional)', 'Burgers', 'Wraps', 'Sandwiches', 'Bars', 'Nightlife', 'Beer Bar']"
Tomo Japanese Steakhouse and Sushi Bar,"7411 N Keystone Ave, Ste A",Indianapolis,IN,46240,39.8887246,-86.1212129,4.0,246,48.0,21.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Steakhouses', 'Sushi Bars', 'Japanese']"
